Entity,Code,Date,"Excess_mortality_P-scores,_ages_15-64","Excess_mortality_P-scores,_ages_65-74","Excess_mortality_P-scores,_ages_75-84","Excess_mortality_P-scores,_ages_85+"
Denmark,DNK,4/5/2020,-2.25,10.28,28.7,-0.79
Denmark,DNK,4/12/2020,-18.63,15.83,18.4,5.66
Denmark,DNK,4/19/2020,-5.23,4.44,12.55,4.11
Denmark,DNK,4/26/2020,2.19,8.18,22.7,4.98
Denmark,DNK,5/3/2020,-20,-9.93,10.01,9.61
Denmark,DNK,5/10/2020,-2.94,-8.92,11.15,0.11
Denmark,DNK,5/17/2020,-10.12,-4.67,4.34,-2.11
Denmark,DNK,5/24/2020,-13.47,-0.4,8.77,7.27
Denmark,DNK,5/31/2020,-8.78,1.97,8.84,-5.17
Denmark,DNK,6/7/2020,-6.84,-11.59,7.67,0.98
Denmark,DNK,6/14/2020,3.12,-6.37,6.44,4.66
Denmark,DNK,6/21/2020,-7.38,-14.24,6.88,-0.53
Denmark,DNK,6/28/2020,-6.29,-6.81,20.91,5.02
Denmark,DNK,7/5/2020,6.04,-6.47,10.49,8.66
Denmark,DNK,7/12/2020,-8.64,-4.64,8.13,4.28
Denmark,DNK,7/19/2020,-4.31,3.43,15.21,8.48
Denmark,DNK,7/26/2020,-6.86,-8.15,2.83,-5.56
Denmark,DNK,8/2/2020,2.53,2.75,-1.05,4.72
Denmark,DNK,8/9/2020,-9.33,-9.7,7.42,4.42
Denmark,DNK,8/16/2020,5.01,7.14,11.4,-0.92
Denmark,DNK,8/23/2020,-11.32,-5.48,7.53,8.78
Denmark,DNK,8/30/2020,-8.47,-3.43,8.58,3.05
Denmark,DNK,9/6/2020,-18.68,2.15,9.29,13.76
Denmark,DNK,9/13/2020,-4.7,-17.9,12.48,12.91
Denmark,DNK,9/20/2020,-7.01,-3.71,29.64,14.77
Denmark,DNK,9/27/2020,-7.86,-0.1,5.24,-1.11
Denmark,DNK,10/4/2020,-18.76,-1.42,16.89,4.42
Denmark,DNK,10/11/2020,-18.14,-7.02,-3.48,-1.68
Denmark,DNK,10/18/2020,-1.23,2.53,11.19,-3.36
Denmark,DNK,10/25/2020,8.55,-9.09,23.71,13.84
Denmark,DNK,11/1/2020,1.66,-7.5,4.19,-2.28
Denmark,DNK,11/8/2020,-14.48,-12.69,23.85,1.29
Denmark,DNK,11/15/2020,-16.56,9.19,23.2,4.09
Denmark,DNK,11/22/2020,-9.47,-6.43,8.64,13.85
England & Wales,,1/5/2020,-8.15,-3.59,2.9,2.89
England & Wales,,1/12/2020,1.31,0.26,3.35,1.46
England & Wales,,1/19/2020,7.68,-1.95,0.41,-5.92
England & Wales,,1/26/2020,-1.11,-1.28,-6.54,-11.62
England & Wales,,2/2/2020,0.29,2.36,-5.14,-8.81
England & Wales,,2/9/2020,-2.22,-5.06,-7.91,-10.2
England & Wales,,2/16/2020,-4.19,-4.6,-8.85,-4.51
England & Wales,,2/23/2020,-0.7,-3.42,-6.46,-8.76
England & Wales,,3/1/2020,1.42,-0.28,-6.21,-4.06
England & Wales,,3/8/2020,-1.99,-4.24,-4.02,-7.68
England & Wales,,3/15/2020,3.94,-1.9,-1.36,-3.87
England & Wales,,3/22/2020,0.67,4.01,2.42,-1.42
England & Wales,,3/29/2020,9.08,9.62,11.75,9.75
England & Wales,,4/5/2020,47.16,62.18,71.66,53.93
England & Wales,,4/12/2020,62.07,68.13,89.31,76.67
England & Wales,,4/19/2020,71.39,97.06,123.42,130.09
England & Wales,,4/26/2020,71.78,87.49,119.49,130
England & Wales,,5/3/2020,50.13,57.81,81.29,103.57
England & Wales,,5/10/2020,13.22,20.49,33.34,44.59
England & Wales,,5/17/2020,23.21,27.31,45.07,56.78
England & Wales,,5/24/2020,19.61,10.67,23.39,31.96
England & Wales,,5/31/2020,11.07,10.38,21.92,27.7
England & Wales,,6/7/2020,4.65,6.89,10,7.16
England & Wales,,6/14/2020,6.83,5.88,7.1,5.31
England & Wales,,6/21/2020,1.02,2.31,0.85,-3.56
England & Wales,,6/28/2020,-6.25,-2.68,-0.73,-4.36
England & Wales,,7/5/2020,2.12,1.35,1.37,-3.43
England & Wales,,7/12/2020,-3.54,-3.63,-3.91,-9.77
England & Wales,,7/19/2020,2.16,1.15,-0.11,-8.3
England & Wales,,7/26/2020,4.41,-3.41,-2.17,-3.23
England & Wales,,8/2/2020,6.03,3.39,-0.87,-5.65
England & Wales,,8/9/2020,6.8,-4.93,-1.09,-3.79
England & Wales,,8/16/2020,0.6,2.21,5.84,3.38
England & Wales,,8/23/2020,11.92,-0.03,8.24,2.7
England & Wales,,8/30/2020,19.26,8.49,11.88,4.96
England & Wales,,9/6/2020,-11.03,-11.24,-14.29,-20.09
England & Wales,,9/13/2020,3.63,8.11,6.8,4.51
England & Wales,,9/20/2020,8.51,1.56,4.65,0.25
England & Wales,,9/27/2020,10.03,2.4,3.67,-0.39
England & Wales,,10/4/2020,5.52,4.15,8.79,0.54
England & Wales,,10/11/2020,4.04,2.56,1.06,0.44
England & Wales,,10/18/2020,12.24,4.36,7.7,5.7
England & Wales,,10/25/2020,12.22,12.67,13.18,6.77
England & Wales,,11/1/2020,14.35,12.79,12.79,6.29
England & Wales,,11/8/2020,10.69,16.78,19.58,11.48
England & Wales,,11/15/2020,17.41,20.27,25.19,13.8
Estonia,EST,1/5/2020,-8.49,-19.5,-33.47,4.09
Estonia,EST,1/12/2020,10.22,5.59,-18.46,-5.89
Estonia,EST,1/19/2020,2.46,-31.09,3.85,-0.79
Estonia,EST,1/26/2020,-8.78,-15.31,-22.09,1.77
Estonia,EST,2/2/2020,3.51,-15.34,-14.14,-8.49
Estonia,EST,2/9/2020,-12.05,-41.27,-22.35,-6.54
Estonia,EST,2/16/2020,-19.19,-9.52,5.05,12.68
Estonia,EST,2/23/2020,2.52,-12.83,6.4,-2.59
Estonia,EST,3/1/2020,9.38,-6.14,-14.76,-5.81
Estonia,EST,3/8/2020,-3.78,-15.12,-14.51,-13.64
Estonia,EST,3/15/2020,-3.72,37.99,-14.17,9.14
Estonia,EST,3/22/2020,-0.36,23.55,-5.43,-4.67
Estonia,EST,3/29/2020,11.3,4.81,6.99,-4.58
Estonia,EST,4/5/2020,-11.55,20.07,-14.85,22.9
Estonia,EST,4/12/2020,-7.05,35.46,-11.52,10.15
Estonia,EST,4/19/2020,16.28,13.97,-4.76,-0.44
Estonia,EST,4/26/2020,30.35,0.69,-4.11,33.26
